schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260808-woohee-001,KURLY,5027766,[팜송] 청양고추 80g,청양고추,https://www.kurly.com/goods/5027766,봉,80g,,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5027766,
1.0,20260808-woohee-001,KURLY,5027767,풋고추 100g,풋고추,https://www.kurly.com/goods/5027767,봉,100g,,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,"・ 세척한 풋고추는 물기를 제거한 상태로 키친타월이나 신문지로 감싼 뒤, 밀폐용기에 담아 냉장고 채소칸에 보관하세요.",DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5027767,
1.0,20260808-woohee-001,KURLY,5027770,[KF365] 오이맛고추 150g,오이맛고추,https://www.kurly.com/goods/5027770,1봉,150g,,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,"세척한 오이맛고추는 물기를 제거한 상태로 키친타월이나 신문지로 감싼 뒤, 밀폐용기에 담아 냉장고 채소칸에 보관하세요.",DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5027770,
1.0,20260808-woohee-001,KURLY,5027768,[KF365] 홍고추 80g,홍고추,https://www.kurly.com/goods/5027768,봉,80g,,,NOT_FOUND,농산물로 별도의 소비기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,"세척한 홍고추는 물기를 제거한 상태로 키친타월이나 신문지로 감싼 뒤, 밀폐용기에 담아 냉장고 채소칸에 보관하세요.",DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5027768,
1.0,20260808-woohee-001,KURLY,5061352,[KF365] 청양고추 200g,청양고추,https://www.kurly.com/goods/5061352,1봉,200g,이렇게 세척하세요 ・베이킹소다를 뿌린 뒤 고루 묻도록 조물조물 섞어주세요. 잠시 두었다가 흐르는 물로 깨끗하게 세척하면 됩니다. Tip. 좀 더 깨끗하게 즐기고 싶다면 청양고추의 꼭지 부분을 신경 써 세척해 주세요.,,NOT_FOUND,신선식품으로 별도의 소비기한은 없으나 가급적 빠른 시일 내에 드시길 바랍니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5061352,
