schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,5090272,"담기 샛별배송 [자연실록] 무항생제 닭 안심살 500g 8,500원 5%8,075원 9,999+",https://www.kurly.com/goods/5090272,1,2026-08-22T17:52:04.713398+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,5030115,"담기 샛별배송 [자연실록] 동물복지 닭 안심살 300g (냉장) 6,990원 9,999+",https://www.kurly.com/goods/5030115,2,2026-08-22T17:52:04.713614+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,1001956097,"담기 샛별배송 [KF365] IQF 닭안심살 (냉동) 1kg 지방이 적고 부드러운 7,990원 999+ Kurly Only",https://www.kurly.com/goods/1001956097,3,2026-08-22T17:52:04.713740+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,1000459593,"+최대20%쿠폰 담기 샛별배송 [Kurly's] 동물복지 닭 안심살 500g 담백하고 촉촉한 살결 10,900원 876 Kurly Only",https://www.kurly.com/goods/1000459593,4,2026-08-22T17:52:04.713821+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,5059675,"+최대20%쿠폰 담기 샛별배송 [KF365] 1등급 닭 안심살 2종 (냉장) 7,700원~ 999+ Kurly Only",https://www.kurly.com/goods/5059675,5,2026-08-22T17:52:04.713902+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,1001613729,"담기 샛별배송 [정다운] 무항생제 오리 안심살 1kg (냉동) 부드럽고 야들야들한 식감 15,200원 6%14,200원 150",https://www.kurly.com/goods/1001613729,6,2026-08-22T17:52:04.713968+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,1001371948,"최대20%쿠폰 담기 샛별배송 [KF365] 에어프라이어용 통 닭안심살 치킨까스 500g 얼리지 않은 통 닭안심살로 완성한 11,250원 29%7,910원 999+ Kurly Only",https://www.kurly.com/goods/1001371948,7,2026-08-22T17:52:04.714030+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,1001137126,"+최대20%쿠폰 담기 샛별배송 [KF365] 무항생제 닭다리살(정육) 슬라이스 구이 400g 먹기 좋게 자른 순살 살코기 7,990원 999+ Kurly Only",https://www.kurly.com/goods/1001137126,8,2026-08-22T17:52:04.714105+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,1001384130,"+최대20%쿠폰 담기 샛별배송 [모두의식단] 촉촉한 닭 안심살 (1개입/4개입) 결대로 부드럽게 찢어지는 2,990원 20%2,390원~ 226 Kurly Only",https://www.kurly.com/goods/1001384130,9,2026-08-22T17:52:04.714258+09:00,DISCOVERED
1.0,20260822-jaeseong-003,KURLY,SEARCH,안심살,5055786,"최대20%쿠폰 담기 샛별배송 [KART] 통안심살이 통통 치킨텐더 바삭 촉촉, 케이준 양념 통안심 6,500원 999+",https://www.kurly.com/goods/5055786,10,2026-08-22T17:52:04.714399+09:00,DISCOVERED
