schema_version,batch_id,original_product_id,image_path,text_presence,detect_method,confidence,checked_at,notes
1.0,20260802-jaeseong-001,1000858612,detail_images/1000858612_01_bc4fee6dc1db.jpg,UNKNOWN,PADDLE_PREPASS,0.2504,2026-08-02T14:07:27.612246+09:00,blocks=1
1.0,20260802-jaeseong-001,1000858612,detail_images/1000858612_02_f8ce72c7a859.jpg,HAS_TEXT,HEURISTIC,0.5199,2026-08-02T14:07:27.687331+09:00,heuristic_score=0.5199
1.0,20260802-jaeseong-001,1000858612,detail_images/1000858612_03_8856da1d3eb3.jpg,HAS_TEXT,HEURISTIC,0.2104,2026-08-02T14:07:27.709173+09:00,heuristic_score=0.2104
1.0,20260802-jaeseong-001,1000858612,detail_images/1000858612_04_a9eddf841ad3.jpg,HAS_TEXT,HEURISTIC,0.455,2026-08-02T14:07:27.750029+09:00,heuristic_score=0.4550
1.0,20260802-jaeseong-001,1002032799,detail_images/1002032799_01_fc8b21116d25.jpg,HAS_TEXT,HEURISTIC,0.1527,2026-08-02T14:07:27.795123+09:00,heuristic_score=0.1527
1.0,20260802-jaeseong-001,1002032799,detail_images/1002032799_02_f68dbf949687.jpg,HAS_TEXT,HEURISTIC,0.1454,2026-08-02T14:07:27.832238+09:00,heuristic_score=0.1454
1.0,20260802-jaeseong-001,1002032799,detail_images/1002032799_03_10a50ebe8707.jpg,HAS_TEXT,HEURISTIC,0.2264,2026-08-02T14:07:27.850452+09:00,heuristic_score=0.2264
1.0,20260802-jaeseong-001,1002032799,detail_images/1002032799_04_356ee7c93ec6.jpg,HAS_TEXT,HEURISTIC,0.7013,2026-08-02T14:07:27.872598+09:00,heuristic_score=0.7013
1.0,20260802-jaeseong-001,1002262731,detail_images/1002262731_01_00400cc19845.jpg,HAS_TEXT,HEURISTIC,0.1475,2026-08-02T14:07:27.906015+09:00,heuristic_score=0.1475
1.0,20260802-jaeseong-001,1002262731,detail_images/1002262731_02_497fd2894841.jpg,NO_TEXT,PADDLE_PREPASS,,2026-08-02T14:07:30.813024+09:00,blocks=0
1.0,20260802-jaeseong-001,1002262731,detail_images/1002262731_03_fa20944e0fc2.jpg,HAS_TEXT,HEURISTIC,0.2925,2026-08-02T14:07:30.888779+09:00,heuristic_score=0.2925
1.0,20260802-jaeseong-001,1002262731,detail_images/1002262731_04_f5727ec6abc3.jpg,HAS_TEXT,HEURISTIC,0.7195,2026-08-02T14:07:30.950717+09:00,heuristic_score=0.7195
1.0,20260802-jaeseong-001,5063479,detail_images/5063479_01_24a10107acc1.jpg,HAS_TEXT,HEURISTIC,0.1272,2026-08-02T14:07:31.048385+09:00,heuristic_score=0.1272
1.0,20260802-jaeseong-001,5063479,detail_images/5063479_02_ac27fc80a80b.jpg,HAS_TEXT,HEURISTIC,0.2123,2026-08-02T14:07:31.103127+09:00,heuristic_score=0.2123
1.0,20260802-jaeseong-001,5063479,detail_images/5063479_03_9af6c7fbc0d3.jpg,HAS_TEXT,HEURISTIC,0.7051,2026-08-02T14:07:31.165486+09:00,heuristic_score=0.7051
1.0,20260802-jaeseong-001,1000858627,detail_images/1000858627_01_7ba555cc8d17.jpg,UNKNOWN,PADDLE_PREPASS,0.3,2026-08-02T14:07:34.085708+09:00,blocks=1
1.0,20260802-jaeseong-001,1000858627,detail_images/1000858627_02_f8ce72c7a859.jpg,HAS_TEXT,HEURISTIC,0.5199,2026-08-02T14:07:34.109949+09:00,heuristic_score=0.5199
1.0,20260802-jaeseong-001,1000858627,detail_images/1000858627_03_43b09125983e.jpg,HAS_TEXT,HEURISTIC,0.2039,2026-08-02T14:07:34.146802+09:00,heuristic_score=0.2039
1.0,20260802-jaeseong-001,1000858627,detail_images/1000858627_04_8cb459464f20.jpg,HAS_TEXT,HEURISTIC,0.6321,2026-08-02T14:07:34.196350+09:00,heuristic_score=0.6321
