schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260805-sunyeong-001,KURLY,SEARCH,가지,5054661,"+10%쿠폰 담기 샛별배송 [KF365] 가지 2입 믿고 먹을 수 있는 상품을 합리적인 가격에, KF365 3,490원 14%2,990원 9,999+",https://www.kurly.com/goods/5054661,1,2026-08-05T17:45:00.174041+09:00,DISCOVERED
1.0,20260805-sunyeong-001,KURLY,SEARCH,가지,1002030397,"담기 샛별배송 [제각각] 가지 3입 달라서 더 귀여운 2,990원 6%2,790원 437 Kurly Only",https://www.kurly.com/goods/1002030397,2,2026-08-05T17:45:00.174977+09:00,DISCOVERED
1.0,20260805-sunyeong-001,KURLY,SEARCH,가지,5000147,"+10%쿠폰 담기 샛별배송 친환경 가지 2입 길쭉하게 뻗은 보랏빛 채소 4,690원 4%4,490원 9,999+",https://www.kurly.com/goods/5000147,3,2026-08-05T17:45:00.175027+09:00,DISCOVERED
1.0,20260805-sunyeong-001,KURLY,SEARCH,가지,1000178607,"담기 샛별배송 [제각각] 가지 5입 달라서 더 귀여운 4,490원 11%3,990원 999+ Kurly Only",https://www.kurly.com/goods/1000178607,4,2026-08-05T17:45:00.175052+09:00,DISCOVERED
1.0,20260805-sunyeong-001,KURLY,SEARCH,가지,1001371667,"담기 샛별배송 [팜송] 여주 가지 2종 가지의 고장 여주에서 달려온 신선함 4,490원 11%3,990원~ 750 Kurly Only",https://www.kurly.com/goods/1001371667,5,2026-08-05T17:45:00.175082+09:00,DISCOVERED
