schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260815-sunyeong-001,KURLY,SEARCH,오뚜기 냉동피자,1000763401,"담기 샛별배송 [오뚜기] 돌판오븐 피자 4종 (택1) 도우의 바삭함이 남다른 6,980원 15%5,880원 999+",https://www.kurly.com/goods/1000763401,1,2026-08-15T00:06:50.551822+09:00,DISCOVERED
1.0,20260815-sunyeong-001,KURLY,SEARCH,오뚜기 냉동피자,1002047182,"최대15% 쿠폰 담기 샛별배송 [오뚜기] 피자 이딸리아나 3종 (택1) 쫄깃한 도우와 풍성한 토핑 11,980원 25%8,980원 188",https://www.kurly.com/goods/1002047182,2,2026-08-15T00:06:50.551997+09:00,DISCOVERED
1.0,20260815-sunyeong-001,KURLY,SEARCH,오뚜기 냉동피자,1000513095,"최대15% 쿠폰 담기 샛별배송 [오뚜기] 크러스트 피자 3종 (택1) 치즈를 듬뿍 올린 9,980원 30%6,980원 999+",https://www.kurly.com/goods/1000513095,3,2026-08-15T00:06:50.552010+09:00,DISCOVERED
1.0,20260815-sunyeong-001,KURLY,SEARCH,오뚜기 냉동피자,1002313757,"최대20%쿠폰 담기 샛별배송 [오뚜기] 멕시칸 & 아메리칸 피자 2종 (택1) 오뚜기 피자 10주년 기념 8,980원 30%6,280원 24",https://www.kurly.com/goods/1002313757,4,2026-08-15T00:06:50.552018+09:00,DISCOVERED
1.0,20260815-sunyeong-001,KURLY,SEARCH,오뚜기 냉동피자,1000747450,"담기 샛별배송 [오뚜기] UNO 사각피자 4종 (택2) 간식으로 제격인 1인 피자 2,380원 18%1,950원 999+",https://www.kurly.com/goods/1000747450,5,2026-08-15T00:06:50.552025+09:00,DISCOVERED
