schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260808-woohee-010,KURLY,SEARCH,상추,1000258072,"+10%쿠폰 담기 샛별배송 [제각각] 청상추 200g 싱그러움은 그대로 2,790원 8%2,540원 9,999+ Kurly Only",https://www.kurly.com/goods/1000258072,1,2026-08-08T19:04:58.622181+09:00,DISCOVERED
1.0,20260808-woohee-010,KURLY,SEARCH,상추,5071163,"+최대20%쿠폰 담기 샛별배송 친환경 적상추 2종 부드럽고 신선한 잎채소 2,490원~ 9,999+",https://www.kurly.com/goods/5071163,2,2026-08-08T19:04:58.623515+09:00,DISCOVERED
1.0,20260808-woohee-010,KURLY,SEARCH,상추,1000258069,"+10%쿠폰 담기 샛별배송 [제각각] 적상추 200g 부담 없이 즐기는 쌈채소 2,790원 8%2,540원 9,999+ Kurly Only",https://www.kurly.com/goods/1000258069,3,2026-08-08T19:04:58.623546+09:00,DISCOVERED
1.0,20260808-woohee-010,KURLY,SEARCH,상추,5071165,"담기 샛별배송 친환경 청상추 2종 초록빛 싱그러움이 담긴 쌈채소 2,490원~ 9,999+",https://www.kurly.com/goods/5071165,4,2026-08-08T19:04:58.623575+09:00,DISCOVERED
1.0,20260808-woohee-010,KURLY,SEARCH,상추,5030612,"+10%쿠폰 담기 샛별배송 [KF365] 청상추 150g 믿고 먹을 수 있는 상품을 합리적인 가격에, KF365 2,590원 9,999+",https://www.kurly.com/goods/5030612,5,2026-08-08T19:04:58.623597+09:00,DISCOVERED
