batch_id,original_product_id,product_name,product_url,image_path,source_image_url,source_site,expiration_info_dom,storage_method_dom,storage_type_dom,food_name_candidate,weight_raw,quantity_raw,sales_unit_raw
20260824-sunyeong-002,1002051565,[쉐프원] 정통사누끼우동면 1.15kg(냉동),https://www.kurly.com/goods/1002051565,detail_images/1002051565_01_772598e23c9a.jpg,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/1a67f358-1a0e-40e3-a495-3573d712b1ff.png,KURLY,이 27.04.12 이후(해당일 포함)인 상품 발송,,FROZEN,정통사누끼우동면,1.15kg(5개입),5개입,1개
20260824-sunyeong-002,1002051565,[쉐프원] 정통사누끼우동면 1.15kg(냉동),https://www.kurly.com/goods/1002051565,detail_images/1002051565_02_bfef2fd176b7.jpg,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/827b7344-d1c7-40c0-8de9-9436fc65e384.png,KURLY,이 27.04.12 이후(해당일 포함)인 상품 발송,,FROZEN,정통사누끼우동면,1.15kg(5개입),5개입,1개
20260824-sunyeong-002,1002051565,[쉐프원] 정통사누끼우동면 1.15kg(냉동),https://www.kurly.com/goods/1002051565,detail_images/1002051565_03_165560c85374.jpg,https://product-image.kurly.com/hdims/resize/%3E1010x/quality/90/src/product/image/58f5af4a-45a1-4f24-8456-7b5476a1acfb.png,KURLY,이 27.04.12 이후(해당일 포함)인 상품 발송,,FROZEN,정통사누끼우동면,1.15kg(5개입),5개입,1개
20260824-sunyeong-002,5054176,[천일식품] 사누끼 우동면,https://www.kurly.com/goods/5054176,detail_images/5054176_01_9012a493846d.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20200730/gv10000110417_1.jpg,KURLY,이 27.07.05 이후(해당일 포함)인 상품 발송,,UNKNOWN,사누끼 우동면,230g X 5개입,5개입,1팩
20260824-sunyeong-002,5054176,[천일식품] 사누끼 우동면,https://www.kurly.com/goods/5054176,detail_images/5054176_02_b491d9ba2159.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20201015/gv30000127542_1.jpg,KURLY,이 27.07.05 이후(해당일 포함)인 상품 발송,,UNKNOWN,사누끼 우동면,230g X 5개입,5개입,1팩
20260824-sunyeong-002,5054176,[천일식품] 사누끼 우동면,https://www.kurly.com/goods/5054176,detail_images/5054176_03_8998cd284254.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250103/gv20001630970_1.jpg,KURLY,이 27.07.05 이후(해당일 포함)인 상품 발송,,UNKNOWN,사누끼 우동면,230g X 5개입,5개입,1팩
20260824-sunyeong-002,5066746,[네니아] 우리밀 냉동 우동면 (230g x 5개입),https://www.kurly.com/goods/5066746,detail_images/5066746_01_5429ce37c526.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20210205/gv40000157111_1.jpg,KURLY,이 27.05.14 이후(해당일 포함)인 상품 발송,-18℃ 이하에서 냉동 보관하세요.,FROZEN,우리밀 냉동 우동면 ( x 5개입),230g*5개입,5개입,1팩
20260824-sunyeong-002,5066746,[네니아] 우리밀 냉동 우동면 (230g x 5개입),https://www.kurly.com/goods/5066746,detail_images/5066746_02_93e115c62757.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20210205/gv30000157112_1.jpg,KURLY,이 27.05.14 이후(해당일 포함)인 상품 발송,-18℃ 이하에서 냉동 보관하세요.,FROZEN,우리밀 냉동 우동면 ( x 5개입),230g*5개입,5개입,1팩
20260824-sunyeong-002,5066746,[네니아] 우리밀 냉동 우동면 (230g x 5개입),https://www.kurly.com/goods/5066746,detail_images/5066746_03_c2c5d8f18be7.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20250512/gv20001649346_1.jpg,KURLY,이 27.05.14 이후(해당일 포함)인 상품 발송,-18℃ 이하에서 냉동 보관하세요.,FROZEN,우리밀 냉동 우동면 ( x 5개입),230g*5개입,5개입,1팩
20260824-sunyeong-002,1000810476,[면사랑] 사누끼우동면 5개입 (개별포장),https://www.kurly.com/goods/1000810476,detail_images/1000810476_01_5acddf087edf.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240912/gv00001558699_1.jpg,KURLY,이 27.08.02 이후(해당일 포함)인 상품 발송,・-18℃ 이하에서 냉동 보관하세요.,FROZEN,사누끼우동면 5개입 (개별포장),"1,150g (230g x 5개)",5개입,1팩 (5개입)
20260824-sunyeong-002,1000810476,[면사랑] 사누끼우동면 5개입 (개별포장),https://www.kurly.com/goods/1000810476,detail_images/1000810476_02_0da4c804ec1a.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240912/gv00001558700_1.jpg,KURLY,이 27.08.02 이후(해당일 포함)인 상품 발송,・-18℃ 이하에서 냉동 보관하세요.,FROZEN,사누끼우동면 5개입 (개별포장),"1,150g (230g x 5개)",5개입,1팩 (5개입)
20260824-sunyeong-002,1000810476,[면사랑] 사누끼우동면 5개입 (개별포장),https://www.kurly.com/goods/1000810476,detail_images/1000810476_03_64bda6f3ccb2.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20240912/gv40001558704_1.jpg,KURLY,이 27.08.02 이후(해당일 포함)인 상품 발송,・-18℃ 이하에서 냉동 보관하세요.,FROZEN,사누끼우동면 5개입 (개별포장),"1,150g (230g x 5개)",5개입,1팩 (5개입)
20260824-sunyeong-002,1000092737,[테이블마크] 탄넨 시코미 혼바 사누끼 우동면(180g X 3EA),https://www.kurly.com/goods/1000092737,detail_images/1000092737_01_d84c31a7b182.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230102/gv40000473118_1.jpg,KURLY,이 27.03.01 이후(해당일 포함)인 상품 발송,・-18℃ 이하의 냉동실에 보관하세요.,FROZEN,탄넨 시코미 혼바 사누끼 우동면( X 3EA),180g X 3개입,3개입,1묶음 (3개입)
20260824-sunyeong-002,1000092737,[테이블마크] 탄넨 시코미 혼바 사누끼 우동면(180g X 3EA),https://www.kurly.com/goods/1000092737,detail_images/1000092737_02_2e0ab61eb58d.jpg,https://img-cf.kurly.com/hdims/resize/%3E1010x/quality/90/src/shop/data/goodsview/20230102/gv00000473119_1.jpg,KURLY,이 27.03.01 이후(해당일 포함)인 상품 발송,・-18℃ 이하의 냉동실에 보관하세요.,FROZEN,탄넨 시코미 혼바 사누끼 우동면( X 3EA),180g X 3개입,3개입,1묶음 (3개입)
