schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260815-sunyeong-새우젓,KURLY,SEARCH,새우젓,5156673,"+20% 쿠폰 담기 샛별배송 [동광젓갈] 새우젓 맛있는 요리를 위한 필수 재료 5,700원 9,999+",https://www.kurly.com/goods/5156673,1,2026-08-15T20:37:38.172489+09:00,DISCOVERED
1.0,20260815-sunyeong-새우젓,KURLY,SEARCH,새우젓,1001974646,"+20% 쿠폰 담기 샛별배송 [이금선명인] 국산 신안 새우젓 저온 숙성이 만들어낸 깊은 풍미 6,000원 28%4,320원 576 Kurly Only",https://www.kurly.com/goods/1001974646,2,2026-08-15T20:37:38.172867+09:00,DISCOVERED
1.0,20260815-sunyeong-새우젓,KURLY,SEARCH,새우젓,1000285015,"+20% 쿠폰 담기 샛별배송 [한성] 토굴숙성 광천새우젓 2종 (택1) 감칠맛 가득한 국산 새우 9,500원~ 999+",https://www.kurly.com/goods/1000285015,3,2026-08-15T20:37:38.172898+09:00,DISCOVERED
1.0,20260815-sunyeong-새우젓,KURLY,SEARCH,새우젓,5156733,"+20% 쿠폰 담기 샛별배송 [김정배명인] 새우젓 4종 (택1) 명인이 만든 명품 새우젓 17,000원~ 999+",https://www.kurly.com/goods/5156733,4,2026-08-15T20:37:38.172921+09:00,DISCOVERED
1.0,20260815-sunyeong-새우젓,KURLY,SEARCH,새우젓,1001718430,"+20% 쿠폰 담기 샛별배송 한숟갈 스틱 새우젓 간단하게 더하는 감칠맛 3,200원 466",https://www.kurly.com/goods/1001718430,5,2026-08-15T20:37:38.172941+09:00,DISCOVERED
