schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260808-woohee-005,KURLY,SEARCH,브로콜리,5054660,"+10%쿠폰 담기 샛별배송 [KF365] 브로콜리 1입 (250g) 믿고 먹을 수 있는 상품을 합리적인 가격에, KF365 4,990원 20%3,990원 9,999+",https://www.kurly.com/goods/5054660,1,2026-08-08T17:35:13.950392+09:00,DISCOVERED
1.0,20260808-woohee-005,KURLY,SEARCH,브로콜리,1002318659,"+10%쿠폰 담기 샛별배송 [바름팜] 강원 고랭지 브로콜리 2입 (500g) 촘촘하게 여문 꽃봉오리 7,990원 18%6,490원 93 Kurly Only",https://www.kurly.com/goods/1002318659,2,2026-08-08T17:35:13.952435+09:00,DISCOVERED
1.0,20260808-woohee-005,KURLY,SEARCH,브로콜리,5001063,"+10%쿠폰 담기 샛별배송 [바름팜] 친환경 브로콜리 1개 (200g) 풍부한 영양이 담긴 초록 꽃송이 5,690원 9,999+",https://www.kurly.com/goods/5001063,3,2026-08-08T17:35:13.952465+09:00,DISCOVERED
1.0,20260808-woohee-005,KURLY,SEARCH,브로콜리,5009207,"+최대20%쿠폰 담기 샛별배송 [바름팜] 친환경 조각 브로콜리 150g 간편하게 즐기는 초록 꽃송이 4,990원 9,999+ Kurly Only",https://www.kurly.com/goods/5009207,4,2026-08-08T17:35:13.952477+09:00,DISCOVERED
1.0,20260808-woohee-005,KURLY,SEARCH,브로콜리,5042793,"+10%쿠폰 담기 샛별배송 [퀵쿠킹] 냉동 유기농 브로콜리 600g 필요한만큼 꺼내쓰는 편리한 유기농 브로콜리 8,490원 9,999+",https://www.kurly.com/goods/5042793,5,2026-08-08T17:35:13.952487+09:00,DISCOVERED
