schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260808-woohee-009,KURLY,SEARCH,배추,5027319,"+10%쿠폰 담기 샛별배송 알배기 배추 1봉 고소하고 달큼한 맛이 일품인 미니 알배기 배추 3,990원 40%2,390원 9,999+",https://www.kurly.com/goods/5027319,1,2026-08-08T18:42:32.830394+09:00,DISCOVERED
1.0,20260808-woohee-009,KURLY,SEARCH,배추,5060212,"+최대20%쿠폰 담기 샛별배송 손질 쌈배추 200g 쌈으로 즐기는 달큼한 배춧잎 2,990원 9,999+",https://www.kurly.com/goods/5060212,2,2026-08-08T18:42:32.831352+09:00,DISCOVERED
1.0,20260808-woohee-009,KURLY,SEARCH,배추,1000540435,"담기 샛별배송 친환경 손질 쌈배추 250G 간편하게 사용하는 노란빛 배춧잎 4,290원 999+",https://www.kurly.com/goods/1000540435,3,2026-08-08T18:42:32.831417+09:00,DISCOVERED
1.0,20260808-woohee-009,KURLY,SEARCH,배추,5001366,"담기 샛별배송 친환경 쌈배추 1/2통 고소함이 겹겹히 쌓인 미니배추 4,690원 9,999+",https://www.kurly.com/goods/5001366,4,2026-08-08T18:42:32.831433+09:00,DISCOVERED
1.0,20260808-woohee-009,KURLY,SEARCH,배추,1000894310,"담기 샛별배송 배추 가득 나베용 채소 750g 나베 속 빛나는 존재감 9,590원 845",https://www.kurly.com/goods/1000894310,5,2026-08-08T18:42:32.831449+09:00,DISCOVERED
