schema_version,batch_id,original_product_id,image_path,text_presence,detect_method,confidence,checked_at,notes
1.0,20260807-jaeseong-001,1000217187,detail_images/1000217187_01_14151e5d49ec.jpg,HAS_TEXT,HEURISTIC,0.2321,2026-08-07T00:05:59.120755+09:00,heuristic_score=0.2321
1.0,20260807-jaeseong-001,1000217187,detail_images/1000217187_02_3f52df38ce7b.jpg,HAS_TEXT,HEURISTIC,0.3261,2026-08-07T00:05:59.130815+09:00,heuristic_score=0.3261
1.0,20260807-jaeseong-001,1000217187,detail_images/1000217187_03_ff3f4e3ceaf5.jpg,HAS_TEXT,HEURISTIC,0.6328,2026-08-07T00:05:59.161768+09:00,heuristic_score=0.6328
1.0,20260807-jaeseong-001,1000217187,detail_images/1000217187_04_f472c9bc75a3.jpg,HAS_TEXT,HEURISTIC,0.325,2026-08-07T00:05:59.187185+09:00,heuristic_score=0.3250
1.0,20260807-jaeseong-001,5012569,detail_images/5012569_01_c0ff0da41d7b.jpg,HAS_TEXT,HEURISTIC,0.2625,2026-08-07T00:05:59.202368+09:00,heuristic_score=0.2625
1.0,20260807-jaeseong-001,5012569,detail_images/5012569_02_c6191063e8ae.jpg,HAS_TEXT,HEURISTIC,0.3318,2026-08-07T00:05:59.212349+09:00,heuristic_score=0.3318
1.0,20260807-jaeseong-001,5012569,detail_images/5012569_03_95b436005b6a.jpg,NO_TEXT,PADDLE_PREPASS,,2026-08-07T00:07:43.186195+09:00,blocks=0
1.0,20260807-jaeseong-001,5012569,detail_images/5012569_04_277a44e44d64.jpg,HAS_TEXT,HEURISTIC,0.2332,2026-08-07T00:07:43.203397+09:00,heuristic_score=0.2332
1.0,20260807-jaeseong-001,5012569,detail_images/5012569_05_51189d29f71c.jpg,HAS_TEXT,HEURISTIC,0.3463,2026-08-07T00:07:43.228136+09:00,heuristic_score=0.3463
1.0,20260807-jaeseong-001,5060865,detail_images/5060865_01_8003f696e384.jpg,HAS_TEXT,HEURISTIC,0.6337,2026-08-07T00:07:43.252271+09:00,heuristic_score=0.6337
1.0,20260807-jaeseong-001,5060865,detail_images/5060865_02_96e00caf21a7.jpg,HAS_TEXT,HEURISTIC,0.2787,2026-08-07T00:07:43.267111+09:00,heuristic_score=0.2787
1.0,20260807-jaeseong-001,5060865,detail_images/5060865_03_82c2e94abf3a.jpg,HAS_TEXT,HEURISTIC,0.2784,2026-08-07T00:07:43.292194+09:00,heuristic_score=0.2784
