schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5055949,"담기 샛별배송 [브룩클린688] 호주산 소고기 안창살 구이용 300g (냉장) 17,500원 9,999+ Kurly Only",https://www.kurly.com/goods/5055949,1,2026-08-22T17:00:51.874613+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5030550,"담기 샛별배송 [일상味소] 안창살 200g (냉장) 식감과 맛이 모두 좋은 특수부위 34,190원 10%30,770원 999+ Kurly Only 한정수량",https://www.kurly.com/goods/5030550,2,2026-08-22T17:00:51.874752+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,1000630171,"담기 샛별배송 [Kurly's] 1++ 한우 안창살 구이용 250g (냉장) 쫄기한 식감과 풍부한 육즘 87,800원 15%74,600원 30 Kurly Only",https://www.kurly.com/goods/1000630171,3,2026-08-22T17:00:51.874791+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5043088,"담기 샛별배송 [PPUL] 1++(9) 한우 정육 슬라이스 200g (냉장) 마블링 풍부한 한우로 즐기는 별미 18,000원 999+ Kurly Only 더퍼플셀렉션",https://www.kurly.com/goods/5043088,4,2026-08-22T17:00:51.874815+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5055948,"멤버스특가 담기 샛별배송 [브룩클린688] 호주산 소고기 목초육 치마살 구이용 300g (냉장) 18,500원 20%14,800원~ 9,999+ Kurly Only",https://www.kurly.com/goods/5055948,5,2026-08-22T17:00:51.874946+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,1001335683,"담기 샛별배송 [골라담기] 이목 국내산 소고기 등심/안심/채끝 3종, 택1 24,300원 25%18,220원 9,999+ Kurly Only",https://www.kurly.com/goods/1001335683,6,2026-08-22T17:00:51.875022+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,1002214146,"담기 샛별배송 [이목] 국내산 소고기 안창, 토시, 제비추리 모둠 250g (냉장) 37,250원 25%27,920원 17 Kurly Only",https://www.kurly.com/goods/1002214146,7,2026-08-22T17:00:51.875075+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,1001351926,"담기 샛별배송 [미트빌] 미국산 냉장 소고기 14종 골라담기 22,900원 6%21,300원~ 999+",https://www.kurly.com/goods/1001351926,8,2026-08-22T17:00:51.875098+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5055609,"담기 샛별배송 [이목] 국내산 소고기 안심 스테이크 200g (냉장) 부담없는 한 끼 스테이크 24,300원 25%18,220원 999+ Kurly Only",https://www.kurly.com/goods/5055609,9,2026-08-22T17:00:51.875118+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5047857,"멤버스특가 담기 샛별배송 [델리치오] 호주산 소고기 목초육 안심 스테이크 250g (냉장) 24,750원 31%16,900원~ 9,999+ Kurly Only",https://www.kurly.com/goods/5047857,10,2026-08-22T17:00:51.875148+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5054432,"+최대20%쿠폰 담기 샛별배송 [경주천년한우] 1++ 한우 채끝 구이용 200g (냉장) 급이 다른 풍성한 맛 42,900원 10%38,610원 999+",https://www.kurly.com/goods/5054432,11,2026-08-22T17:00:51.875179+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5069989,"담기 샛별배송 [이목 무항생제] 국내산 소고기 갈비살 구이용 200g (냉장) 맛도 식감도 일품인 22,700원 21%17,900원 999+ Kurly Only",https://www.kurly.com/goods/5069989,12,2026-08-22T17:00:51.875211+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,1000668302,"+최대20%쿠폰 담기 샛별배송 [Kim's butcher] 호주산 목초육 치마살 구이용 200g 터져 나오는 육즙의 풍미 12,900원 485",https://www.kurly.com/goods/1000668302,13,2026-08-22T17:00:51.875235+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5013746,"담기 샛별배송 [태우한우] 1+ 한우 갈비살 구이용 200g (냉장) 구이용 고기의 정석 43,000원 35%27,940원 999+ Kurly Only",https://www.kurly.com/goods/5013746,14,2026-08-22T17:00:51.875258+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5055950,"담기 샛별배송 [브룩클린688] 호주산 소고기 토시살 구이용 300g (냉장) 17,500원 9,999+ Kurly Only",https://www.kurly.com/goods/5055950,15,2026-08-22T17:00:51.875275+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,1000475187,"+최대20%쿠폰 담기 샛별배송 [골라담기] 경주천년한우 1++ 한우 8종, 택1 15,940원 10%14,340원~ 9,999+",https://www.kurly.com/goods/1000475187,16,2026-08-22T17:00:51.875293+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5006173,"+최대20%쿠폰 담기 샛별배송 [일상味소] 국내산 소고기 채끝 스테이크 250g (냉장) 소고기 고유의 풍미 23,480원 15%19,950원 9,999+ Kurly Only",https://www.kurly.com/goods/5006173,17,2026-08-22T17:00:51.875316+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5013190,"담기 샛별배송 [일상味소] 토시살 200g (냉장) 쫄깃 담백한 특수부위 24,880원 10%22,390원 999+ Kurly Only 한정수량",https://www.kurly.com/goods/5013190,18,2026-08-22T17:00:51.875335+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5055615,"담기 샛별배송 [이목] 국내산 소고기 절단 국거리용 200g(냉장) 간편하게 쓰기 좋은 세절 국거리 10,670원 20%8,530원 9,999+ Kurly Only",https://www.kurly.com/goods/5055615,19,2026-08-22T17:00:51.875352+09:00,DISCOVERED
1.0,20260822-jaeseong-002,KURLY,SEARCH,안창살,5008943,"담기 샛별배송 [일상味소] 치마살 200g (냉장) 쫄깃하게 살아나는 감칠맛 25,100원 10%22,590원 999+ Kurly Only",https://www.kurly.com/goods/5008943,20,2026-08-22T17:00:51.875369+09:00,DISCOVERED
