schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260805-sunyeong-001,KURLY,5054661,[KF365] 가지 2입,가지 2입,https://www.kurly.com/goods/5054661,1봉,2입,,,NOT_FOUND,농산물로 별도의 소비기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,"・물기를 제거한 가지를 키친타올로 감싼 후, 밀폐용기에 담아 냉장 보관하세요. 단, 가능한 한 이른 시일 내에 드셔야 맛과 식감을 지킬 수 있어요.",DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5054661,
1.0,20260805-sunyeong-001,KURLY,1002030397,[제각각] 가지 3입,가지 3입,https://www.kurly.com/goods/1002030397,,3입봉,,,NOT_FOUND,농산물로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다 .,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1002030397,
1.0,20260805-sunyeong-001,KURLY,5000147,친환경 가지 2입,친환경 가지 2입,https://www.kurly.com/goods/5000147,1봉,"은 3% 내외의 차이가 발생할 수 있습니다. 유기농 또는 무농약 인증을 받는 제품이므로, 수급 상황에 따라 인증 종류가 다를 수 있습니다. 여름 가지(과채류)는 쓴맛이 있을 수 있습니다. 이는 꼭지 및 껍질부분에 있으며, 수분 부족시 발생합니다. 쓴맛을 제거하려면 꼭지를 자르고 약한 소금물 혹은 식초 물에 담가두면 효과가 있습니다.",,,NOT_FOUND,신선상품으로 별도의 소비기한은 없으나 가급적 빠르게 섭취하시는 것을 권장드립니다.,DOM,"・물기를 제거한 가지를 키친타월로 감싼 후, 밀폐용기에 담아 냉장 보관하세요.",DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5000147,
1.0,20260805-sunyeong-001,KURLY,1000178607,[제각각] 가지 5입,가지 5입,https://www.kurly.com/goods/1000178607,1봉,5개입,5개입,,NOT_FOUND,신선상품으로 별도의 소비기한은 없으나 가급적 빠르게 섭취하시기를 권장드립니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1000178607,
1.0,20260805-sunyeong-001,KURLY,1001371667,[팜송] 여주 가지 2종,여주 가지 2종,https://www.kurly.com/goods/1001371667,봉,3입/5입,"첫 구매니까, 하나만 사도 무료배송상품을 선택해주세요",,NOT_FOUND,농산물로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,"물기를 제거한 가지를 키친타올로 감싼 후, 밀폐용기에 담아 냉장 보관하세요. 단, 가능한 한 이른 시일 내에 드셔야 맛과 식감을 지킬 수 있어요.",DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001371667,
