schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260824-sunyeong-002,KURLY,1002051565,[쉐프원] 정통사누끼우동면 1.15kg(냉동),정통사누끼우동면,https://www.kurly.com/goods/1002051565,1개,1.15kg(5개입),5개입,,NOT_FOUND,이 27.04.12 이후(해당일 포함)인 상품 발송,DOM,,NOT_FOUND,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1002051565,
1.0,20260824-sunyeong-002,KURLY,1002051565,[쉐프원] 정통사누끼우동면 1.15kg(냉동),정통사누끼우동면,https://www.kurly.com/goods/1002051565,1개,1.15kg(5개입),5개입,숙면(가열하여 섭취하는 냉동식품),OCR,이 27.04.12 이후(해당일 포함)인 상품 발송,DOM,냉동보관(-18‘C 이하),OCR,FROZEN,0.9558272196186913,,2026-08-24T22:44:37.351802+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:1002051565:165560c85374,165560c85374ca2115c2e1f1688cff5d80ec85fd64934a7264129c1a74f387fb
1.0,20260824-sunyeong-002,KURLY,5054176,[천일식품] 사누끼 우동면,사누끼 우동면,https://www.kurly.com/goods/5054176,1팩,230g X 5개입,5개입,,NOT_FOUND,이 27.07.05 이후(해당일 포함)인 상품 발송,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5054176,
