schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260808-woohee-014,KURLY,5000070,[바름팜] 친환경 당근 2종,친환경 당근 2종,https://www.kurly.com/goods/5000070,1봉지,"500g, 1kg",와 중량을 확인하세요,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5000070,
1.0,20260808-woohee-014,KURLY,1001214582,[바름팜] 밀양 햇 흙당근 2종,밀양 햇 흙당근 2종,https://www.kurly.com/goods/1001214582,1봉,1kg/1.5kg,"첫 구매니까, 하나만 사도 무료배송상품을 선택해주세요",,NOT_FOUND,농산물로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001214582,
1.0,20260808-woohee-014,KURLY,5049925,흙당근 1kg,흙당근,https://www.kurly.com/goods/5049925,1봉,1kg,,,NOT_FOUND,농산물로 별도의 소비기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5049925,
1.0,20260808-woohee-014,KURLY,1000178629,[제각각] 당근 2kg,당근,https://www.kurly.com/goods/1000178629,1봉,2kg,,,NOT_FOUND,신선상품으로 별도의 소비기한은 없으나 가급적 빠르게 섭취하시기를 권장드립니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1000178629,
1.0,20260808-woohee-014,KURLY,5063380,[바름팜] 친환경 세척 당근 500g,친환경 세척 당근,https://www.kurly.com/goods/5063380,1봉,500g,와 중량을 확인하세요,,NOT_FOUND,농산물로 별도의 소비기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5063380,
