schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260808-woohee-005,KURLY,5054660,[KF365] 브로콜리 1입 (250g),브로콜리 1입 (),https://www.kurly.com/goods/5054660,1봉,1송이(250g 이상),,,NOT_FOUND,농산물로 별도의 소비기한은 없으나 가급적 빠르게 드시기 바랍니다.,DOM,・냉장 보관하세요. 물기를 제거한 뒤 지퍼백이나 비닐 팩에 담아 보관해 주세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5054660,
1.0,20260808-woohee-005,KURLY,1002318659,[바름팜] 강원 고랭지 브로콜리 2입 (500g),강원 고랭지 브로콜리 2입 (),https://www.kurly.com/goods/1002318659,봉,2입(개당 250g 이상),,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,밀폐용기 또는 비닐팩에 넣어 냉장 보관하세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:1002318659,
1.0,20260808-woohee-005,KURLY,5001063,[바름팜] 친환경 브로콜리 1개 (200g),친환경 브로콜리 1개 (),https://www.kurly.com/goods/5001063,1개,200g내외,,,NOT_FOUND,농산물로 별도의 소비기한이 없으나 가급적 빨리 섭취를 권장드립니다.,DOM,・밀폐용기 또는 비닐팩에 넣어 냉장 보관하세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5001063,
1.0,20260808-woohee-005,KURLY,5009207,[바름팜] 친환경 조각 브로콜리 150g,친환경 조각 브로콜리,https://www.kurly.com/goods/5009207,1팩,150g내외,,,NOT_FOUND,농산물의 특성상 별도의 소비기한은 없으나 가급적 빨리 섭취를 권장드립니다.,DOM,・밀폐용기 또는 비닐팩에 넣어 냉장 보관하세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5009207,
1.0,20260808-woohee-005,KURLY,5042793,[퀵쿠킹] 냉동 유기농 브로콜리 600g,냉동 유기농 브로콜리,https://www.kurly.com/goods/5042793,1봉,600g,,,NOT_FOUND,"출고일 기준, 소비기한이 560일 이상 남은 상품을 보내드립니다.(총 소비기한 : 1030일)",DOM,-18℃ 이하에서 냉동 보관해주세요. 이미 냉동된 바 있으니 해동 후 재냉동은 피해주세요.,DOM,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5042793,
1.0,20260808-woohee-005,KURLY,5042793,[퀵쿠킹] 냉동 유기농 브로콜리 600g,냉동 유기농 브로콜리,https://www.kurly.com/goods/5042793,1봉,600g,,과·채가공품(가열하여섭취하는 냉동식품),OCR,"출고일 기준, 소비기한이 560일 이상 남은 상품을 보내드립니다.(총 소비기한 : 1030일)",DOM,-18℃ 이하에서 냉동 보관해주세요. 이미 냉동된 바 있으니 해동 후 재냉동은 피해주세요.,DOM,FROZEN,0.9705106682247586,,2026-08-08T17:43:16.463143+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:5042793:8fb7360b2e34,8fb7360b2e34742ee7f84c3e565c6d93f83b8e12437593f96a8efa03ad7285a7
