schema_version,batch_id,source_site,original_product_id,product_name_raw,food_name_candidate,product_url,sales_unit_raw,weight_raw,quantity_raw,food_type_raw,food_type_source,expiration_info_raw,expiration_source,storage_method_raw,storage_source,storage_type,ocr_confidence,crawl_collected_at,ocr_collected_at,parser_version,validation_status,parse_status,source_record_id,image_sha256
1.0,20260808-woohee-013,KURLY,5000095,친환경 대파 250g,친환경 대파,https://www.kurly.com/goods/5000095,1봉,250g,,,NOT_FOUND,신선식품으로 별도의 소비기한은 없으나 가급적 빠른 시일 내에 드시길 바랍니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5000095,
1.0,20260808-woohee-013,KURLY,1001985604,[제각각] 흙대파 1kg,흙대파,https://www.kurly.com/goods/1001985604,1봉,1kg,,,NOT_FOUND,"30일 이상 식품 (신선 / 냉장 / 냉동 제외) & 기타 상품 (뷰티 제품, 생활용품)",DOM,"을 잘해도 금방 상하기 마련인데 흐믈거리지 않고 신선합니다. 세척하지 않고 3등분으로 썰어 키친타월을 감싸 보관했는데 2주 지났는데도 아직 괜찮습니다. 대파는 항상 쫑쫑 썰어 사용했는데 대파를 무치니 고기 겉절이로 개운하니 맛있어요. 대파를 맛있게 활용하는 방법으로 대파무침 추천합니다. 대파무침 레시피는 고춧가루1, 진간장1, 매실청1, 참기름1 넣고 버무렸어요. 대파가 아삭하고 맛있게 알싸하니 생대파자체만으로도 맛있게 즐길 수 있어요^^2026.07.23도움돼요",DOM,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:1001985604,
1.0,20260808-woohee-013,KURLY,5125771,뚝딱! 대파 500g (냉동),뚝딱! 대파,https://www.kurly.com/goods/5125771,1봉,500g,,,NOT_FOUND,수령일 포함 230일 이상 남은 제품을 보내 드립니다. (총 소비기한730일),DOM,・-18℃ 이하에서 냉동 보관하세요.,DOM,FROZEN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5125771,
1.0,20260808-woohee-013,KURLY,5125771,뚝딱! 대파 500g (냉동),뚝딱! 대파,https://www.kurly.com/goods/5125771,1봉,500g,,과채가공품,OCR,수령일 포함 230일 이상 남은 제품을 보내 드립니다. (총 소비기한730일),DOM,・-18℃ 이하에서 냉동 보관하세요.,DOM_AND_OCR,FROZEN,0.9572684311348459,,2026-08-08T21:56:10.233778+09:00,0.2.0,REVIEW_REQUIRED,COMPLETED,KURLY:5125771:961eb3a0e364,961eb3a0e36479216499c60e2201e8bbcfefa94892fe3942d8afa691fefbd896
1.0,20260808-woohee-013,KURLY,5049247,[팜송] 한끼 대파 250g,한끼 대파,https://www.kurly.com/goods/5049247,1봉,250g,,,NOT_FOUND,신선식품으로 별도의 소비기한은 없으나 가급적 빠른 시일 내에 드시길 바랍니다.,DOM,・물기가 없는 상태로 냉장실에서 보관해 주세요.,DOM,REFRIGERATED,,,,0.2.0,MATCHED,COMPLETED,KURLY:5049247,
1.0,20260808-woohee-013,KURLY,5063043,[KF365] 흙대파 1단850g,흙대파 1단,https://www.kurly.com/goods/5063043,1봉,850g,,,NOT_FOUND,신선식품으로 별도의 소비기한은 없으나 가급적 빠른 시일 내에 드시길 바랍니다.,DOM,,NOT_FOUND,UNKNOWN,,,,0.2.0,MATCHED,COMPLETED,KURLY:5063043,
