schema_version,batch_id,source_site,source_mode,source_value,original_product_id,product_name_preview,product_url,discovery_order,discovered_at,discovery_status
1.0,20260807-woohee-002,KURLY,SEARCH,양파,5026451,"+10%쿠폰 담기 샛별배송 양파 1.5kg 단단하고 아삭한 양파의 매력 4,990원 14%4,290원 9,999+",https://www.kurly.com/goods/5026451,1,2026-08-07T17:18:13.188037+09:00,DISCOVERED
1.0,20260807-woohee-002,KURLY,SEARCH,양파,1001227997,"+10%쿠폰 담기 샛별배송 [바름팜] 창녕 양파 1.5kg 야물고 단단한 육질을 지닌 4,990원 40%2,990원 999+ Kurly Only",https://www.kurly.com/goods/1001227997,2,2026-08-07T17:18:13.190093+09:00,DISCOVERED
1.0,20260807-woohee-002,KURLY,SEARCH,양파,5000072,"+최대20%쿠폰 담기 샛별배송 [바름팜] 친환경 양파 2종 단단하고 아삭한 필수 채소 3,990원 17%3,290원~ 9,999+ Kurly Only",https://www.kurly.com/goods/5000072,3,2026-08-07T17:18:13.190159+09:00,DISCOVERED
1.0,20260807-woohee-002,KURLY,SEARCH,양파,5152797,"+최대20%쿠폰 담기 샛별배송 친환경 깐 양파 200g 바로 활용하는 손질 양파 3,290원 9,999+",https://www.kurly.com/goods/5152797,4,2026-08-07T17:18:13.190183+09:00,DISCOVERED
1.0,20260807-woohee-002,KURLY,SEARCH,양파,1001542395,"+최대20%쿠폰 담기 샛별배송 [제각각] 양파 1.5kg 작지만 알차게 여문 4,490원 11%3,990원 999+ Kurly Only",https://www.kurly.com/goods/1001542395,5,2026-08-07T17:18:13.190229+09:00,DISCOVERED
